Location,Type,Rooms,Price
Ikoyi,detached bungalow,2,3500000
Lekki,semi-detached duplex,4,3700000
Lekki,semi-detached duplex,5,10000000
Lekki,semi-detached duplex,5,10000000
Ajah,detached duplex,4,2000000
Lekki,semi-detached duplex,4,5500000
Lekki,flat apartment,3,2700000
Lekki,detached duplex,4,4000000
Lekki,terraced duplex,3,1600000
Ikeja,flat apartment,4,1500000
Lekki,detached duplex,4,3700000
Lekki,detached duplex,5,3000000
Lekki,semi-detached duplex,6,5000000
Ikoyi,terraced duplex,4,10000000
Ikoyi,semi-detached duplex,4,11000000
Lekki,detached duplex,5,8000000
Lekki,semi-detached duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Ajah,terraced duplex,4,1800000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,5,8000000
VI,semi-detached bungalow,2,2500000
Ajah,detached duplex,3,1000000
Ajah,detached duplex,3,1000000
Ajah,terraced duplex,4,2200000
Ajah,terraced duplex,4,2000000
Lekki,semi-detached duplex,4,4000000
Lekki,terraced duplex,4,3500000
Lekki,flat apartment,4,3500000
Lekki,terraced duplex,4,3500000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,3,1500000
Ikoyi,terraced duplex,4,6000000
Ikoyi,terraced duplex,4,5000000
VI,semi-detached bungalow,5,8500000
Ikoyi,terraced duplex,4,7500000
Ikoyi,detached duplex,5,9500000
Lekki,terraced duplex,4,3200000
Lekki,terraced duplex,3,2200000
Lekki,terraced duplex,3,2500000
Lekki,detached duplex,5,9000000
Lekki,terraced duplex,4,45000000
Lekki,terraced duplex,4,3000000
Ajah,detached duplex,4,1800000
Lekki,detached duplex,4,3800000
Lekki,terraced duplex,4,3000000
Lekki,semi-detached duplex,4,3500000
Lekki,terraced duplex,4,3500000
Lekki,flat apartment,4,3000000
Ajah,detached duplex,3,1000000
Lekki,terraced duplex,4,2500000
Lekki,flat apartment,4,4000000
Ajah,semi-detached bungalow,2,900000
Ajah,semi-detached bungalow,2,1000000
VI,terraced duplex,3,4000000
Lekki,detached duplex,4,3700000
Gbagada,flat apartment,3,1500000
Ikoyi,terraced duplex,4,13000000
Ikoyi,terraced duplex,4,14000000
Lekki,terraced duplex,4,3000000
Lekki,terraced duplex,4,5000000
Lekki,semi-detached duplex,4,3000000
Lekki,semi-detached duplex,4,3000000
Lekki,terraced duplex,4,2800000
Ikoyi,semi-detached duplex,3,10000000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,5,3500000
Lekki,terraced duplex,3,4000000
VI,terraced duplex,4,5000000
Ikoyi,terraced duplex,4,10000000
Lekki,terraced duplex,4,45000000
Ajah,detached duplex,4,4500000
Lekki,flat apartment,4,4000000
North,semi-detached duplex,3,1300000
Lekki,semi-detached duplex,3,4000000
Ikoyi,terraced duplex,4,9000000
Ikoyi,terraced duplex,4,9000000
Lekki,terraced duplex,4,4000000
Lekki,semi-detached duplex,4,3500000
Lekki,detached duplex,4,3500000
