,Type,Rooms,Location,Price
696,semi-detached duplex,5,Ikoyi,17000000
697,terraced duplex,3,Ikoyi,14000000
698,terraced duplex,3,Ikoyi,8000000
699,house for,3,Ikoyi,8000000
700,detached duplex,5,Lekki,15000000
701,terraced duplex,4,Ikoyi,17000000
702,terraced duplex,4,Lekki,3500000
703,terraced duplex,4,Lekki,3000000
704,terraced duplex,3,Lekki,2500000
705,detached duplex,5,Ikeja,2500000
706,detached duplex,5,Lekki,4500000
707,house for,1,Ikorodu,200000
708,terraced duplex,4,Lekki,3000000
709,detached duplex,5,Magodo,5500000
710,house for,3,Lekki,2500000
711,detached duplex,5,Ikeja,4000000
712,detached duplex,4,Lekki,4500000
713,house for,4,Ikoyi,18000000
714,house for,4,Lekki,4000000
715,semi-detached duplex,4,Lekki,65000000
716,detached duplex,5,Lekki,12000000
717,terraced duplex,5,Lekki,4500000
718,terraced duplex,5,Lekki,6000000
719,terraced duplex,5,Lekki,6000000
720,terraced duplex,4,Lekki,3000000
721,house for,1,Lekki,170000
722,semi-detached duplex,4,Lekki,5000000
723,detached duplex,3,Lekki,2000000
724,detached duplex,5,(VI),9000000
725,detached duplex,4,Lekki,2500000
726,detached bungalow,5,Surulere,4500000
727,semi-detached duplex,4,Lekki,3000000
728,terraced duplex,4,Lekki,2800000
729,terraced duplex,4,Lekki,3000000
730,detached duplex,4,Lekki,3800000
731,detached duplex,5,Lekki,4500000
732,detached duplex,3,Ikoyi,16000000
733,semi-detached duplex,5,Ikoyi,16000000
734,terraced duplex,4,Lekki,3000000
735,terraced duplex,3,Lekki,1500000
736,terraced duplex,3,Ikoyi,10000000
737,terraced duplex,4,Lekki,3500000
738,semi-detached duplex,4,Ikoyi,6500000
739,detached duplex,5,Lekki,6000000
740,terraced duplex,4,Ikoyi,17500000
741,terraced duplex,3,Ikoyi,15000000
742,terraced duplex,4,Lekki,3200000
743,terraced duplex,4,Lekki,3500000
744,semi-detached duplex,4,Lekki,6000000
745,detached duplex,5,Lekki,3200000
746,terraced duplex,3,Lekki,3500000
747,house for,4,Lekki,4000000
748,semi-detached duplex,4,Lekki,3000000
749,semi-detached duplex,4,Magodo,3000000
750,terraced duplex,4,Lekki,2000000
751,semi-detached duplex,4,Lekki,3000000
752,terraced duplex,5,(VI),6000000
753,detached duplex,6,Ikoyi,27000000
754,terraced duplex,4,Ikoyi,9500000
755,terraced bungalow,4,Lekki,3000000
756,semi-detached duplex,6,Lekki,5000000
757,semi-detached duplex,4,Magodo,1500000
758,semi-detached duplex,4,Lekki,3500000
759,semi-detached duplex,4,Lekki,3200000
760,semi-detached duplex,4,Lekki,2800000
761,terraced duplex,4,Ajah,1500000
762,terraced duplex,3,Lekki,3000000
763,semi-detached duplex,4,Lekki,3500000
764,detached duplex,5,Lekki,5000000
765,semi-detached duplex,4,Lekki,3500000
766,semi-detached duplex,4,Lekki,3500000
767,detached duplex,4,Surulere,150000000
768,detached duplex,6,Maryland,13000000
769,detached duplex,5,Lekki,4500000
770,detached duplex,5,Lekki,3500000
771,detached duplex,5,Lekki,3800000
772,house for,3,Lekki,1900000
773,terraced duplex,5,Lekki,3500000
774,terraced duplex,4,Lekki,3000000
775,terraced duplex,4,Lekki,6000000
776,house for,2,Lekki,2000000
777,terraced duplex,3,Lekki,1500000
778,terraced duplex,4,Lekki,2500000
779,semi-detached bungalow,3,Ajah,1000000
780,semi-detached duplex,4,Ikeja,3500000
781,terraced duplex,4,Lekki,3200000
782,semi-detached duplex,4,Ikeja,4000000
783,terraced duplex,4,Lekki,3000000
784,semi-detached duplex,4,Lekki,3500000
785,terraced duplex,4,Lekki,6000000
786,terraced duplex,4,Lekki,6000000
787,house for,1,Ajah,250000
788,house for,1,Ajah,800000
789,semi-detached duplex,4,Lekki,3000000
790,detached duplex,4,Ajah,3000000
791,terraced duplex,5,Lekki,6000000
792,terraced duplex,4,(VI),6000000
793,detached duplex,6,Ikoyi,12000000
794,semi-detached duplex,4,Lekki,3500000
795,detached duplex,4,Lekki,4500000
796,semi-detached duplex,4,Lekki,3000000
797,detached duplex,4,Lekki,3800000
798,house for,4,Lekki,4000000
799,semi-detached duplex,4,Lekki,4000000
800,semi-detached duplex,4,Lekki,3300000
801,terraced duplex,3,Lekki,2500000
802,detached duplex,4,Lekki,4000000
803,semi-detached duplex,4,Lekki,3500000
804,detached duplex,5,Lekki,5250000
805,house for,2,Lekki,2600000
806,detached duplex,5,(VI),12000000
807,detached duplex,5,Ikoyi,10000000
808,house for,4,Lekki,3500000
809,terraced duplex,4,Ikoyi,12000000
810,detached duplex,5,Lekki,5250000
811,detached duplex,5,Surulere,3500000
812,detached duplex,5,Lekki,4000000
813,semi-detached duplex,4,Ajah,1800000
814,detached duplex,5,Lekki,3500000
815,semi-detached duplex,4,Lekki,3500000
816,semi-detached duplex,4,Lekki,3500000
817,terraced duplex,4,Lekki,2700000
818,detached duplex,5,Lekki,3000000
819,house for,4,Lekki,4000000
820,terraced duplex,4,Lekki,3300000
821,terraced duplex,4,Ajah,1800000
822,detached duplex,5,Lekki,3500000
823,detached duplex,5,Lekki,4500000
824,semi-detached duplex,4,Ikoyi,7000000
825,terraced duplex,3,Lekki,2500000
826,detached duplex,4,Lekki,4000000
827,detached duplex,4,Lekki,3800000
828,house for,3,Lekki,1800000
829,semi-detached duplex,4,Lekki,4000000
830,terraced duplex,4,Lekki,3000000
831,detached duplex,5,Lekki,7000000
832,semi-detached duplex,4,Ikoyi,8000000
833,detached duplex,5,Magodo,6000000
834,terraced duplex,4,Lekki,3000000
835,house for,3,Lekki,16000000
836,terraced duplex,4,Ikoyi,16000000
837,detached duplex,4,Magodo,3000000
838,detached duplex,5,Lekki,82000000
839,terraced duplex,4,Ikoyi,16000000
840,terraced duplex,3,Lekki,1500000
841,house for,3,Lekki,2500000
842,terraced duplex,4,Lekki,3300000
843,detached duplex,4,Lekki,5500000
844,detached duplex,5,Lekki,5500000
845,semi-detached duplex,5,Lekki,8000000
846,detached duplex,4,Lekki,80000000
847,terraced duplex,4,Ikoyi,15000000
848,semi-detached duplex,4,Ikoyi,13000000
849,detached duplex,5,Lekki,4500000
850,semi-detached duplex,4,Lekki,3500000
851,semi-detached duplex,5,Lekki,12000000
852,terraced duplex,4,Ikoyi,17500000
853,semi-detached duplex,4,Ikeja,8000000
854,terraced duplex,4,Lekki,3500000
855,semi-detached duplex,4,Lekki,3000000
856,detached duplex,5,(VI),9000000
857,semi-detached duplex,3,Yaba,4000000
858,detached duplex,5,Lekki,2000000
859,terraced duplex,4,Lekki,1600000
860,detached duplex,4,Lekki,2000000
861,house for,4,Lekki,4000000
862,terraced duplex,4,Lekki,1400000
863,semi-detached duplex,4,Lekki,3000000
864,semi-detached duplex,4,Lekki,3000000
865,semi-detached duplex,4,Lekki,3000000
866,terraced duplex,4,Lekki,2800000
867,house for,2,Lekki,27000000
868,semi-detached duplex,4,Lekki,52000000
869,house for,2,Lekki,1800000
870,detached duplex,5,Lekki,3500000
871,terraced duplex,4,Lekki,3300000
872,semi-detached duplex,5,Ikeja,6500000
873,house for,4,(VI),6000000
874,terraced duplex,4,(VI),7000000
875,semi-detached duplex,4,(VI),5000000
876,detached duplex,4,Lekki,3500000
877,detached bungalow,1,Surulere,700000
878,detached duplex,6,Lekki,9000000
879,semi-detached duplex,4,Lekki,3500000
880,semi-detached duplex,4,Lekki,3500000
881,detached duplex,4,Lekki,5000000
882,house for,4,Lekki,4000000
883,detached duplex,4,Maryland,10000000
884,detached duplex,4,Lekki,4000000
885,house for,3,Ikoyi,13000000
886,house for,4,Ikoyi,15000000
887,house for,3,(VI),5000000
888,terraced duplex,4,Lekki,2700000
889,semi-detached duplex,4,Lekki,3500000
890,terraced duplex,4,Lekki,2700000
891,semi-detached duplex,4,Lekki,3500000
892,semi-detached duplex,4,Lekki,3500000
893,semi-detached duplex,4,Lekki,3500000
894,terraced duplex,4,Lekki,3500000
895,detached duplex,4,Lekki,3800000
896,semi-detached duplex,4,Lekki,2000000
897,house for,4,Lekki,3000000
898,semi-detached duplex,4,Ikeja,4000000
899,terraced duplex,4,Lekki,6000000
900,house for,4,Lekki,3000000
901,terraced duplex,4,Lekki,3200000
902,terraced duplex,4,Ikoyi,4000000
903,terraced duplex,3,Lekki,1500000
904,terraced duplex,4,Lekki,3700000
905,house for,4,Lekki,4500000
906,terraced duplex,3,Lekki,3000000
907,terraced duplex,4,Lekki,3500000
908,terraced duplex,4,Lekki,3500000
909,semi-detached duplex,4,Lekki,4500000
910,semi-detached duplex,4,Lekki,3000000
911,detached bungalow,4,Ikeja,10000000
912,detached duplex,5,Lekki,6500000
913,detached bungalow,3,Surulere,2000000
914,semi-detached duplex,4,Lekki,3000000
915,terraced duplex,4,Ikoyi,15000000
916,semi-detached duplex,4,Lekki,3500000
917,semi-detached duplex,4,Ajah,2000000
918,detached duplex,4,Lekki,4000000
919,semi-detached duplex,5,Lekki,4500000
920,terraced duplex,4,Lekki,6000000
921,terraced duplex,5,Lekki,5500000
922,semi-detached duplex,5,(VI),7000000
923,terraced duplex,4,Lekki,5000000
924,semi-detached duplex,6,Lekki,5000000
925,detached duplex,4,Lekki,1800000
926,detached duplex,5,Lekki,7200000
927,terraced duplex,4,Ajah,1800000
928,terraced duplex,3,Ajah,1500000
929,detached duplex,6,Lekki,8500000
930,terraced duplex,3,Yaba,3500000
931,house for,4,Ikoyi,8500000
932,detached duplex,5,Lekki,9000000
933,terraced duplex,4,Ikoyi,8500000
934,semi-detached duplex,4,Ikoyi,8500000
935,semi-detached duplex,4,Ajah,2500000
936,semi-detached duplex,3,Lekki,4500000
937,for rent,Detached,Ikoyi,15000000
938,terraced duplex,4,Lekki,3000000
939,semi-detached duplex,3,Ajah,1000000
940,terraced duplex,4,(VI),4000000
941,detached duplex,5,Ikeja,110000000
942,terraced duplex,4,Lekki,4500000
943,detached duplex,5,Lekki,3000000
944,terraced duplex,3,Lekki,1800000
945,semi-detached duplex,6,Lekki,5000000
946,terraced duplex,5,Ikoyi,8000000
947,terraced duplex,3,Ikoyi,12000000
948,terraced duplex,5,Lekki,2500000
949,detached duplex,5,Ajah,3400000
950,terraced duplex,400000000,Lekki,3200000
951,detached bungalow,4,Ajah,4000000
952,detached duplex,4,Lekki,4000000
953,house for,4,Ikoyi,20000000
954,terraced duplex,3,Lekki,1800000
955,terraced duplex,4,Ikoyi,10000000
956,detached duplex,4,Lekki,3500000
957,terraced duplex,4,Lekki,3000000
958,terraced duplex,3,Ikoyi,12500000
959,terraced duplex,3,Ikoyi,13000000
960,detached duplex,4,Ajah,4000000
961,semi-detached duplex,4,Lekki,4500000
962,house for,3,Lekki,2300000
963,terraced duplex,4,Lekki,3000000
964,detached duplex,5,Lekki,4500000
965,detached duplex,5,Lekki,3800000
966,semi-detached duplex,6,Lekki,5000000
967,detached duplex,5,Lekki,3000000
968,semi-detached duplex,4,Lekki,3000000
969,semi-detached duplex,5,Ikoyi,9500000
970,terraced duplex,3,Isheri,2000000
971,detached duplex,5,Lekki,4500000
972,detached duplex,4,Lekki,4500000
973,detached duplex,5,Lekki,3500000
974,detached duplex,5,Lekki,4500000
975,house for,2,Lekki,2200000
976,terraced duplex,4,Lekki,2500000
977,terraced duplex,5,Ajah,1500000
978,terraced duplex,4,Lekki,4500000
979,semi-detached duplex,6,Lekki,5000000
980,terraced duplex,4,Lekki,3000000
981,detached duplex,5,Lekki,8000000
982,terraced duplex,4,Lekki,5500000
983,terraced duplex,3,Ikoyi,7500000
984,detached duplex,5,Lekki,4500000
985,terraced duplex,3,(VI),3300000
986,detached duplex,5,Lekki,4500000
987,terraced duplex,3,Lekki,1500000
988,semi-detached bungalow,3,Ajah,1000000
989,detached duplex,4,Lekki,4500000
990,terraced duplex,4,Lekki,3000000
991,terraced duplex,3,Lekki,2500000
992,terraced duplex,4,Lekki,3000000
993,terraced duplex,4,Lekki,3000000
994,house for,3,Ibeju,700000
995,house for,3,Lekki,700000
996,detached duplex,5,(VI),10000000
997,detached duplex,5,Lekki,2500000
998,semi-detached duplex,4,Lekki,3500000
999,detached duplex,4,Lekki,4000000
1000,terraced duplex,4,Lekki,6000000
1001,semi-detached duplex,4,Lekki,2500000
1002,terraced duplex,3,Lekki,1200000
1003,terraced duplex,4,Lekki,3000000
1004,terraced duplex,4,Lekki,4000000
1005,terraced duplex,4,Lekki,3000000
1006,terraced duplex,4,Lekki,3500000
1007,semi-detached duplex,4,Lekki,3000000
1008,terraced duplex,3,Lekki,1500000
1009,detached duplex,4,Ikoyi,10000000
1010,terraced duplex,4,Lekki,3500000
1011,house for,2,Lekki,3000000
1012,terraced duplex,4,Lekki,3000000
1013,semi-detached duplex,4,Lekki,4500000
1014,terraced duplex,4,Ikoyi,12000000
1015,detached duplex,4,Magodo,3000000
1016,terraced duplex,5,Lekki,2500000
1017,terraced duplex,4,Lekki,3000000
1018,detached duplex,4,Lekki,47000000
1019,terraced duplex,3,Ikoyi,11500000
1020,terraced duplex,4,Lekki,3000000
1021,terraced duplex,4,Lekki,4200000
1022,terraced duplex,4,Lekki,4500000
1023,terraced duplex,3,(VI),10000000
1024,terraced duplex,4,Lekki,5000000
1025,terraced duplex,5,Ikoyi,8000000
1026,terraced duplex,3,Ikoyi,12000000
1027,terraced duplex,4,Ikoyi,7000000
1028,terraced duplex,4,Ikoyi,8000000
1029,terraced duplex,3,Lekki,1500000
1030,terraced duplex,4,Ikoyi,9000000
1031,terraced duplex,4,Ikoyi,12500000
1032,house for,4,Ikoyi,8000000
1033,terraced duplex,4,Ikoyi,8000000
1034,terraced duplex,4,Ikoyi,7000000
1035,terraced duplex,3,Ikoyi,10000000
1036,terraced duplex,4,Ikoyi,8000000
1037,terraced duplex,4,Ikoyi,100000
1038,terraced duplex,3,Ikoyi,8000000
1039,detached duplex,5,Lekki,8000000
1040,terraced duplex,4,(VI),5000000
1041,house for,4,Ikoyi,14000000
1042,terraced duplex,4,Ikoyi,8000000
1043,semi-detached duplex,3,Lekki,1800000
1044,semi-detached duplex,4,Lekki,3000000
1045,detached duplex,4,Lekki,10000000
1046,terraced duplex,4,Lekki,4500000
1047,terraced duplex,4,Lekki,4200000
1048,terraced duplex,3,Lekki,2500000
1049,semi-detached duplex,4,Lekki,3500000
1050,semi-detached duplex,6,Lekki,5000000
1051,terraced duplex,4,Lekki,3000000
1052,semi-detached duplex,4,Ikoyi,7000000
1053,terraced duplex,3,Lekki,3000000
1054,semi-detached duplex,4,Lekki,3500000
1055,semi-detached duplex,4,Lekki,3500000
1056,semi-detached duplex,4,Lekki,3500000
1057,terraced duplex,4,Lekki,6000000
1058,terraced duplex,5,Ikoyi,13000000
1059,terraced duplex,4,Ikoyi,8000000
1060,terraced duplex,4,(VI),4000000
1061,semi-detached duplex,4,Ikeja,6000000
1062,house for,4,Lekki,3500000
1063,detached duplex,4,Ojodu,1300000
1064,semi-detached bungalow,3,Ajah,1500000
1065,detached duplex,4,Ajah,2500000
1066,detached duplex,5,Ikeja,5000000
1067,terraced duplex,4,Ikoyi,9000000
1068,terraced duplex,4,Ikoyi,10000000
1069,terraced duplex,3,Ikoyi,7000000
1070,terraced duplex,4,Ikoyi,10000000
1071,semi-detached duplex,6,Lekki,5000000
1072,terraced duplex,4,Ikoyi,8000000
1073,terraced duplex,4,Lekki,4200000
1074,terraced duplex,4,Lekki,3000000
1075,detached duplex,4,Lekki,2500000
1076,semi-detached duplex,4,Lekki,4000000
1077,semi-detached duplex,5,Lekki,6500000
1078,semi-detached duplex,4,Lekki,4000000
1079,terraced duplex,5,Ikoyi,12000000
1080,terraced duplex,4,Lekki,3000000
1081,terraced duplex,4,Lekki,3000000
1082,terraced duplex,4,Ikoyi,15000000
1083,house for,3,Maryland,2500000
1084,terraced duplex,4,Lekki,5000000
1085,terraced duplex,4,Lekki,4500000
1086,terraced duplex,4,Lekki,3000000
1087,semi-detached duplex,4,Lekki,2500000
1088,terraced duplex,4,Lekki,2500000
1089,terraced duplex,4,(VI),4000000
1090,detached duplex,5,Ajah,3500000
1091,terraced duplex,3,Ajah,1500000
1092,semi-detached duplex,6,Lekki,5000000
1093,detached duplex,5,Lekki,5000000
1094,house for,4,Ikoyi,6000000
1095,detached duplex,5,Lekki,15000000
1096,semi-detached duplex,3,Lekki,4000000
1097,detached bungalow,5,Maryland,3000000
1098,semi-detached duplex,5,Ikoyi,16000000
1099,detached duplex,4,Lekki,4000000
1100,terraced duplex,4,Lekki,3000000
1101,terraced duplex,3,Ikoyi,7000000
1102,for rent,Semi-detached,Ikoyi,6000000
1103,terraced duplex,3,Ikoyi,16000000
1104,terraced duplex,4,(VI),20000000
1105,terraced duplex,4,Ikeja,3200000
1106,terraced duplex,4,Ikoyi,Call for Price
1107,detached duplex,5,Lekki,3800000
1108,house for,3,Lekki,3500000
1109,detached duplex,4,Lekki,6000000
1110,terraced duplex,4,Lekki,3000000
1111,semi-detached duplex,5,Lekki,3500000
1112,detached duplex,5,Lekki,10000000
1113,terraced duplex,3,Lekki,1500000
1114,house for,4,Lekki,3000000
1115,house for,3,(VI),5000000
1116,detached duplex,4,Magodo,4500000
1117,terraced duplex,4,Lekki,2800000
1118,semi-detached duplex,4,Lekki,3000000
1119,detached duplex,4,Lekki,4500000
1120,semi-detached duplex,4,Lekki,3000000
1121,semi-detached duplex,4,(VI),5000000
1122,semi-detached duplex,5,Ikoyi,16000000
1123,terraced duplex,3,Lekki,2500000
1124,detached duplex,6,Ikoyi,45000000
1125,terraced duplex,4,Lekki,3000000
1126,terraced duplex,4,Lekki,3000000
1127,terraced duplex,3,Ikoyi,15000000
1128,terraced duplex,3,Ikoyi,18000000
1129,terraced duplex,4,(VI),6000000
1130,semi-detached duplex,4,Ikoyi,9000000
1131,terraced duplex,4,Lekki,3000000
1132,terraced duplex,4,Lekki,3500000
1133,terraced duplex,4,Lekki,3000000
1134,terraced duplex,3,Lekki,1500000
1135,terraced bungalow,4,Lekki,2800000
1136,detached duplex,4,Lekki,4500000
1137,semi-detached duplex,4,Lekki,3500000
1138,terraced duplex,4,Lekki,4500000
1139,terraced duplex,4,Lekki,3000000
1140,terraced duplex,4,Lekki,3500000
1141,terraced duplex,4,Lekki,3500000
1142,detached duplex,5,Lekki,8500000
1143,terraced duplex,4,Lekki,3000000
1144,detached duplex,5,Ajah,2500000
1145,detached duplex,4,Lekki,2500000
1146,terraced duplex,4,Lekki,5000000
1147,detached duplex,4,Magodo,3500000
1148,house for,2,Ajah,800000
1149,terraced duplex,4,Lekki,5000000
1150,detached duplex,4,Magodo,3500000
1151,semi-detached duplex,4,Lekki,2000000
1152,terraced duplex,4,Lekki,4500000
1153,terraced duplex,4,Lekki,3500000
1154,semi-detached duplex,4,Lekki,3500000
1155,semi-detached duplex,6,Lekki,5000000
1156,semi-detached duplex,5,Lekki,4000000
1157,detached duplex,4,Lekki,4500000
1158,terraced duplex,4,Lekki,3500000
1159,terraced duplex,4,Lekki,3300000
1160,house for,3,(VI),3500000
1161,terraced duplex,3,Ajah,1300000
1162,terraced duplex,4,Ikoyi,8300000
1163,terraced duplex,5,(VI),9500000
1164,detached duplex,5,Ikoyi,18000000
1165,terraced duplex,4,Lekki,3000000
1166,house for,3,Ikeja,3500000
1167,detached duplex,4,Lekki,3800000
1168,house for,3,Lekki,3000000
1169,house for,4,Surulere,2300000
1170,semi-detached duplex,4,Lekki,3500000
1171,detached duplex,5,Lekki,3700000
1172,terraced duplex,4,Lekki,3500000
1173,house for,3,Lekki,2000000
1174,house for,4,Ojodu,1400000
1175,terraced duplex,4,Lekki,3500000
1176,terraced duplex,3,Lekki,1500000
1177,terraced duplex,4,Ikoyi,15000000
1178,house for,3,Lekki,3000000
1179,terraced duplex,4,Ikoyi,12000000
1180,house for,3,Lekki,4500000
1181,semi-detached duplex,5,Lekki,6000000
1182,semi-detached duplex,3,Ikoyi,6000000
1183,terraced duplex,4,Lekki,3000000
1184,semi-detached duplex,4,Lekki,3000000
1185,for rent,Detached,Lekki,6000000
1186,terraced duplex,4,Lekki,3500000
1187,terraced duplex,4,Lekki,4000000
1188,terraced duplex,4,Lekki,3500000
1189,terraced duplex,4,Lekki,3000000
1190,semi-detached duplex,5,(VI),7500000
1191,terraced duplex,4,Lekki,3500000
1192,terraced duplex,4,Lekki,3500000
1193,semi-detached duplex,4,Lekki,3000000
1194,terraced duplex,3,Ajah,1300000
1195,house for,5,Ikoyi,22000000
1196,terraced duplex,4,Lekki,4500000
1197,semi-detached duplex,6,Lekki,5000000
1198,semi-detached duplex,5,Ikoyi,5000000
1199,house for,3,Lekki,2000000
1200,house for,2,Ajah,650000
1201,semi-detached duplex,4,Lekki,3600000
1202,semi-detached bungalow,2,Ajah,1000000
1203,detached duplex,5,Lekki,10000000
1204,detached duplex,3,Lekki,3000000
1205,house for,1,Ajah,600000
1206,semi-detached duplex,5,Ikoyi,25000000
1207,detached duplex,6,Ikoyi,50000000
1208,terraced duplex,3,Ikoyi,15000000
1209,semi-detached duplex,5,Lekki,4500000
1210,detached duplex,5,Ajah,3600000
1211,detached duplex,4,Lekki,4500000
1212,for rent,Semi-detached,Ikoyi,25000000
1213,terraced duplex,4,Ikeja,65000000
1214,detached duplex,6,Ikeja,15000000
1215,semi-detached duplex,5,Ikeja,8000000
1216,detached duplex,5,Lekki,8000000
1217,house for,4,Lekki,4000000
1218,terraced duplex,3,Lekki,1500000
1219,detached duplex,5,Lekki,6500000
1220,detached duplex,4,Lekki,5000000
1221,terraced duplex,3,Lekki,1500000
1222,terraced duplex,4,Ikoyi,6500000
1223,detached duplex,5,Lekki,6500000
1224,detached duplex,5,Lekki,15000000
1225,semi-detached bungalow,2,Ajah,900000
1226,terraced duplex,4,Lekki,6000000
1227,terraced duplex,5,Ikoyi,8000000
1228,semi-detached duplex,3,Ajah,950000
1229,terraced duplex,4,Lekki,7000000
1230,house for,4,Ikoyi,8000000
1231,terraced duplex,3,Ikoyi,7000000
1232,semi-detached duplex,5,Ikoyi,16000000
1233,terraced duplex,4,Ikoyi,11000000
1234,terraced duplex,4,Ikoyi,8000000
1235,terraced duplex,3,Ajah,1400000
1236,detached duplex,4,Lekki,4500000
1237,terraced duplex,4,Lekki,3000000
1238,terraced duplex,4,Ikoyi,9000000
1239,terraced duplex,3,Lekki,1500000
1240,terraced duplex,3,Ikoyi,9000000
1241,terraced duplex,4,(VI),20000000
1242,house for,3,Maryland,2300000
1243,terraced duplex,3,Gbagada,2300000
1244,semi-detached duplex,4,Lekki,3000000
1245,detached duplex,4,Lekki,3000000
1246,semi-detached duplex,4,Lekki,3800000
1247,detached duplex,3,(VI),10000000
1248,semi-detached duplex,5,Ikeja,15000000
1249,terraced duplex,4,Lekki,3600000
1250,terraced duplex,2,Ajah,1500000
1251,terraced duplex,4,Lekki,6000000
1252,detached duplex,4,Ikoyi,13000000
1253,detached duplex,4,Lekki,3500000
1254,semi-detached duplex,4,Lekki,3500000
1255,terraced duplex,4,Ikoyi,4500000
1256,terraced duplex,4,Ikoyi,15000000
1257,terraced duplex,4,Lekki,3000000
1258,terraced duplex,4,Ikeja,7000000
1259,detached duplex,5,Lekki,4200000
1260,house for,4,Lekki,4000000
1261,terraced duplex,4,Lekki,6000000
1262,terraced duplex,4,Lekki,5500000
1263,semi-detached duplex,4,Lekki,3500000
1264,detached duplex,5,Lekki,3500000
1265,terraced duplex,5,Lekki,3500000
1266,terraced duplex,4,Lekki,2800000
1267,semi-detached duplex,4,Ajah,1500000
1268,semi-detached duplex,4,(VI),6500000
1269,detached duplex,4,Lekki,4000000
1270,terraced duplex,4,Ikoyi,9000000
1271,terraced duplex,4,Lekki,5000000
1272,terraced duplex,4,Ikoyi,17000000
1273,terraced duplex,3,Ikoyi,16000000
1274,terraced duplex,3,Lekki,2500000
1275,detached duplex,5,Lekki,6000000
1276,terraced duplex,4,Ajah,1800000
1277,semi-detached duplex,4,Ikoyi,12000000
1278,semi-detached duplex,4,Lekki,4000000
1279,house for,3,Ajah,1000000
1280,semi-detached duplex,5,Lekki,5500000
1281,house for,4,Lekki,4000000
1282,terraced duplex,5,Lekki,7000000
1283,terraced duplex,4,Lekki,3000000
1284,semi-detached duplex,4,Lekki,2000000
1285,detached duplex,5,Lekki,3500000
1286,detached duplex,5,Lekki,7000000
1287,semi-detached duplex,4,Lekki,3500000
1288,detached duplex,5,Lekki,4500000
1289,terraced duplex,4,Lekki,3000000
1290,terraced duplex,4,Ikoyi,8000000
1291,terraced duplex,3,Ikoyi,11000000
1292,terraced duplex,5,Lekki,3000000
1293,terraced duplex,4,Lekki,4500000
1294,for rent,Detached,(VI),35000000
1295,terraced duplex,5,Lekki,6000000
1296,detached duplex,4,Ajah,2200000
1297,semi-detached duplex,4,Lekki,3000000
1298,semi-detached duplex,4,Lekki,4000000
1299,detached duplex,4,Ajah,2500000
1300,terraced duplex,4,Ikoyi,15000000
1301,detached duplex,5,Lekki,4500000
1302,terraced duplex,3,Lekki,1500000
1303,detached duplex,4,Lekki,3500000
1304,detached duplex,5,Lekki,5500000
1305,detached duplex,5,Lekki,5500000
1306,detached duplex,9,(VI),15000000
1307,semi-detached duplex,4,Lekki,4000000
1308,semi-detached duplex,4,Ajah,1700000
1309,terraced duplex,4,Yaba,4000000
1310,detached duplex,5,Lekki,5000000
1311,house for,3,Lekki,2500000
1312,semi-detached duplex,4,Lekki,3500000
1313,semi-detached duplex,4,Lekki,3500000
1314,house for,2,(VI),5000000
1315,detached duplex,5,Lekki,4500000
1316,semi-detached duplex,4,Lekki,4000000
1317,semi-detached duplex,4,North,2500000
1318,house for,4,Lekki,7500000
1319,semi-detached duplex,4,North,2000000
1320,detached duplex,4,Ikeja,3000000
1321,semi-detached duplex,4,Lekki,4000000
1322,semi-detached duplex,4,Lekki,3500000
1323,semi-detached duplex,6,Lekki,5000000
1324,terraced duplex,4,Lekki,3000000
1325,house for,3,Ajah,1500000
1326,terraced duplex,4,Lekki,3000000
1327,detached duplex,4,Ajah,4000000
1328,semi-detached duplex,5,Lekki,6000000
1329,terraced duplex,4,(VI),4000000
1330,house for,3,Ikoyi,10000000
1331,detached bungalow,1,Ikoyi,7000000
1332,semi-detached duplex,4,Lekki,3500000
1333,terraced duplex,4,Lekki,6000000
1334,terraced duplex,4,Lekki,4500000
1335,terraced duplex,3,Lekki,4000000
1336,semi-detached duplex,5,Lekki,5000000
1337,terraced duplex,3,Ikoyi,12000000
1338,terraced duplex,4,Lekki,3000000
1339,semi-detached duplex,4,Lekki,3500000
1340,detached duplex,5,Ikoyi,13000000
1341,terraced duplex,4,Ajah,2200000
1342,terraced duplex,4,Lekki,3000000
1343,terraced duplex,4,Lekki,8000000
1344,terraced duplex,3,Lekki,1500000
1345,semi-detached bungalow,2,Ikorodu,350000
1346,semi-detached duplex,4,Lekki,3000000
1347,terraced duplex,4,Lekki,1800000
1348,semi-detached duplex,16,Lekki,5000000
1349,terraced duplex,3,Lekki,3800000
1350,detached duplex,4,Lekki,6000000
1351,detached duplex,4,Lekki,7500000
1352,terraced duplex,4,(VI),20000000
1353,detached duplex,6,Lekki,8000000
1354,terraced duplex,4,(VI),5000000
1355,house for,3,Ikoyi,15000000
1356,terraced duplex,4,Lekki,5000000
1357,semi-detached duplex,4,Lekki,5000000
1358,terraced duplex,4,Ikoyi,13000000
1359,semi-detached duplex,4,Lekki,6000000
1360,terraced duplex,4,(VI),5000000
1361,detached duplex,4,Lekki,5000000
1362,semi-detached duplex,4,Lekki,6500000
1363,terraced duplex,4,(VI),7000000
1364,terraced duplex,4,Lekki,4500000
1365,semi-detached duplex,6,Lekki,5000000
1366,terraced duplex,4,(VI),3800000
1367,terraced duplex,4,Lekki,4000000
1368,semi-detached duplex,4,Lekki,3500000
1369,terraced duplex,4,Lekki,3200000
1370,detached duplex,5,Lekki,4000000
