,Type,Rooms,Location,Price
160,detached duplex,4,Lekki,3700000
161,detached duplex,4,(VI),4500000
162,terraced duplex,5,Lekki,3000000
163,detached duplex,4,Lekki,3800000
164,detached duplex,5,Lekki,4500000
165,detached duplex,4,Lekki,4000000
166,detached duplex,5,Lekki,4500000
167,detached duplex,5,Lekki,4500000
168,semi-detached duplex,6,Lekki,5000000
169,house for,2,Ajah,1100000
170,terraced duplex,4,Lekki,2500000
171,rent,House,Ikorodu,500000
172,terraced duplex,4,Ikoyi,10000000
173,house for,3,Lekki,2000000
174,semi-detached duplex,4,Lekki,3700000
175,detached duplex,5,Lekki,8000000
176,detached duplex,4,Lekki,4000000
177,detached bungalow,2,Ikoyi,3500000
178,semi-detached duplex,4,Lekki,3700000
179,semi-detached duplex,5,Lekki,10000000
180,semi-detached duplex,5,Lekki,10000000
181,detached duplex,4,Ajah,2000000
182,semi-detached duplex,4,Lekki,5500000
183,house for,3,Lekki,2700000
184,detached duplex,4,Lekki,4000000
185,terraced duplex,3,Lekki,1600000
186,house for,4,Ikeja,1500000
187,detached duplex,4,Lekki,3700000
188,detached duplex,5,Lekki,3000000
189,semi-detached duplex,6,Lekki,5000000
190,terraced duplex,4,Ikoyi,10000000
191,semi-detached duplex,4,Ikoyi,11000000
192,detached duplex,5,Lekki,8000000
193,semi-detached duplex,4,Lekki,3500000
194,semi-detached duplex,4,Lekki,3500000
195,terraced duplex,4,Ajah,1800000
196,semi-detached duplex,4,Lekki,3500000
197,detached duplex,5,Lekki,8000000
198,semi-detached bungalow,2,(VI),2500000
199,detached duplex,3,Ajah,1000000
200,detached duplex,3,Ajah,1000000
201,terraced duplex,4,Ajah,2200000
202,terraced duplex,4,Ajah,2000000
203,for rent,Detached,Lekki,6500000
204,semi-detached duplex,4,Lekki,4000000
205,terraced duplex,4,Lekki,3500000
206,house for,4,Lekki,3500000
207,terraced duplex,4,Lekki,3500000
208,semi-detached duplex,4,Lekki,3500000
209,terraced duplex,4,Lekki,3000000
210,terraced duplex,3,Lekki,1500000
211,terraced duplex,4,Ikoyi,6000000
212,terraced duplex,4,Ikoyi,5000000
213,semi-detached bungalow,5,(VI),8500000
214,terraced duplex,4,Ikoyi,7500000
215,detached duplex,5,Ikoyi,9500000
216,terraced duplex,4,Lekki,3200000
217,terraced duplex,3,Lekki,2200000
218,terraced duplex,3,Lekki,2500000
